varied_param,correlation_search_space_dimension,correlation_search_space_resolution,correlation_search_space_smear_deviation,distance_variance_penalty,angle_variance_penalty,coarse_search_angle_offset,coarse_angle_resolution,minimum_angle_penalty,minimum_distance_penalty,max_laser_range,metric_type,sub_metric,stat,value
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,duration (s),min,23.415999999999997
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,traj,duration (s),max,28.491999999999997
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,completion,successes,count,5.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,completion,failures,count,0.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,completion,errors,count,0.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,completion,data or metrics missing,count,0.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,latency,latency,mean,0.0053241379310344835
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,latency,latency,std_dev,0.0046710890092888585
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,latency,latency,median,0.003
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,latency,latency,min,0.0
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,latency,latency,max,0.019
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,cov,trace,mean,0.005683253333333332
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,cov,trace,std_dev,0.002379389331142669
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,cov,trace,median,0.005089
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,cov,trace,min,0.002607
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,cov,trace,max,0.022941
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,cov,trace,rmse,0.006161238677408951
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,cov,det,mean,4.056915339533333e-10
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,cov,det,std_dev,5.131920765639963e-10
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,cov,det,median,2.8186057000000036e-10
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,cov,det,min,5.6272345999999903e-11
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,cov,det,max,4.948278644000008e-09
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.175,0.0175,0.9,0.5,5.0,cov,det,rmse,6.541801954885788e-10
coarse_search_angle_offset,0.2,0.01,0.1,1.0,2.0,0.24748737341529164,0.0175,0.9,0.5,5.0,traj,APE,mean,0.07719232311260475
